"processing_end_time","processing_start_time","message_arrived","diff","message_sent"
"1557687170.339653","1557687169.928426","1557687170.507686","0.8131828308105469","1557687169.694503"
"1557687171.214205","1557687170.870301","1557687171.372711","0.660377025604248","1557687170.712334"
"1557687172.295089","1557687171.900362","1557687172.424679","0.6944980621337891","1557687171.730181"
"1557687173.331279","1557687172.937454","1557687173.359369","0.6095800399780273","1557687172.749789"
"1557687174.169822","1557687173.82554","1557687174.200059","0.43375182151794434","1557687173.766307"
"1557687175.270725","1557687174.831848","1557687175.302043","0.5184159278869629","1557687174.783627"
"1557687176.23817","1557687175.846073","1557687176.27218","0.472275972366333","1557687175.799904"
"1557687177.221399","1557687176.875342","1557687177.252858","0.43526387214660645","1557687176.817594"
"1557687178.313429","1557687177.896559","1557687178.346138","0.510329008102417","1557687177.835809"
"1557687179.285246","1557687178.910567","1557687179.318022","0.46484804153442383","1557687178.853174"
"1557687180.267323","1557687179.922565","1557687180.29675","0.42555713653564453","1557687179.871193"
"1557687181.348909","1557687180.937164","1557687181.37465","0.4833381175994873","1557687180.891312"
"1557687182.300806","1557687181.950889","1557687182.337558","0.42867207527160645","1557687181.908886"
"1557687183.321948","1557687182.972747","1557687183.351853","0.42653679847717285","1557687182.925316"
"1557687184.390811","1557687183.9938","1557687184.420906","0.4793541431427002","1557687183.941552"
"1557687185.352197","1557687185.006965","1557687185.382444","0.42195701599121094","1557687184.960487"
"1557687186.370553","1557687186.023131","1557687186.399276","0.42156100273132324","1557687185.977715"
"1557687187.438578","1557687187.040071","1557687187.510525","0.5167779922485352","1557687186.993747"
"1557687188.403106","1557687188.056547","1557687188.429188","0.41736912727355957","1557687188.011819"
"1557687189.471198","1557687189.073177","1557687189.499881","0.4722170829772949","1557687189.027664"
"1557687190.494449","1557687190.094531","1557687190.524807","0.47940897941589355","1557687190.045398"
"1557687191.485163","1557687191.114323","1557687191.515148","0.4512958526611328","1557687191.063852"
"1557687192.533513","1557687192.135149","1557687192.609139","0.5288689136505127","1557687192.08027"
"1557687193.701887","1557687193.293053","1557687193.731807","0.6346158981323242","1557687193.097191"
"1557687194.540947","1557687194.176372","1557687194.57046","0.45714616775512695","1557687194.113314"
"1557687195.523698","1557687195.174307","1557687195.552376","0.42060112953186035","1557687195.131775"
"1557687196.622542","1557687196.204536","1557687196.651679","0.5036170482635498","1557687196.148062"
"1557687197.554423","1557687197.209019","1557687197.584937","0.41968703269958496","1557687197.16525"
"1557687198.620574","1557687198.226909","1557687198.680692","0.4980649948120117","1557687198.182627"
"1557687199.648763","1557687199.250707","1557687199.682028","0.48107409477233887","1557687199.200954"
"1557687200.606435","1557687200.261499","1557687200.634364","0.4163818359375","1557687200.217982"
"1557687201.702585","1557687201.277392","1557687201.73206","0.49643993377685547","1557687201.23562"
"1557687202.697323","1557687202.298873","1557687202.728063","0.4747281074523926","1557687202.253335"
"1557687203.659868","1557687203.309201","1557687203.689952","0.42246580123901367","1557687203.267486"
"1557687204.719052","1557687204.32804","1557687204.75005","0.46459507942199707","1557687204.285455"
"1557687205.760426","1557687205.360819","1557687205.791929","0.4891319274902344","1557687205.302797"
"1557687206.75261","1557687206.365378","1557687206.783165","0.46582698822021484","1557687206.317338"
"1557687207.779133","1557687207.378476","1557687207.808312","0.4733450412750244","1557687207.334967"
"1557687208.785494","1557687208.395721","1557687208.815108","0.46468615531921387","1557687208.350422"
"1557687209.755514","1557687209.410311","1557687209.790392","0.42371487617492676","1557687209.366677"
"1557687210.847519","1557687210.439852","1557687210.959508","0.5726368427276611","1557687210.386871"
"1557687211.853589","1557687211.46488","1557687211.981704","0.5773320198059082","1557687211.404372"
"1557687212.822804","1557687212.472494","1557687212.851276","0.42954087257385254","1557687212.421735"
"1557687213.881443","1557687213.482227","1557687213.909662","0.46991991996765137","1557687213.439742"
"1557687214.939962","1557687214.519295","1557687214.967628","0.5085909366607666","1557687214.459037"
"1557687215.870106","1557687215.524479","1557687215.899702","0.42461419105529785","1557687215.475088"
"1557687216.969433","1557687216.54038","1557687217.002694","0.5090739727020264","1557687216.49362"
"1557687217.905002","1557687217.560321","1557687217.934074","0.4226539134979248","1557687217.51142"
"1557687218.927245","1557687218.581367","1557687218.957014","0.42673397064208984","1557687218.53028"
"1557687219.999354","1557687219.600239","1557687220.031175","0.48204493522644043","1557687219.54913"
"1557687220.96142","1557687220.611895","1557687220.990187","0.4227259159088135","1557687220.567461"
"1557687222.003971","1557687221.640989","1557687222.032771","0.44477415084838867","1557687221.587997"
"1557687223.048481","1557687222.654578","1557687223.144346","0.5412099361419678","1557687222.603136"
"1557687224.037483","1557687223.692135","1557687224.174003","0.5523099899291992","1557687223.621693"
"1557687225.08862","1557687224.686759","1557687225.116282","0.4758610725402832","1557687224.640421"
"1557687226.050167","1557687225.701495","1557687226.078587","0.4220890998840332","1557687225.656498"
"1557687227.062027","1557687226.715107","1557687227.092332","0.4218459129333496","1557687226.670486"
"1557687228.143086","1557687227.726287","1557687228.171666","0.4866049289703369","1557687227.685061"
"1557687229.14839","1557687228.750765","1557687229.180621","0.4781219959259033","1557687228.702499"
"1557687230.139202","1557687229.767648","1557687230.163423","0.44556713104248047","1557687229.717856"
"1557687231.289985","1557687230.87569","1557687231.452304","0.7159497737884521","1557687230.736354"
"1557687232.362528","1557687231.97762","1557687232.512289","0.7570819854736328","1557687231.755207"
"1557687233.243158","1557687232.875688","1557687233.371876","0.5980288982391357","1557687232.773847"
"1557687234.333834","1557687233.94016","1557687234.362666","0.5734038352966309","1557687233.789262"
"1557687235.248674","1557687234.851765","1557687235.287893","0.4797990322113037","1557687234.808094"
"1557687236.238125","1557687235.872678","1557687236.267342","0.44222116470336914","1557687235.825121"
"1557687237.240421","1557687236.897014","1557687237.27102","0.4278278350830078","1557687236.843192"
"1557687238.319518","1557687237.905408","1557687238.345724","0.4844071865081787","1557687237.861317"
"1557687239.286394","1557687238.914677","1557687239.312138","0.43674516677856445","1557687238.875393"
"1557687240.282697","1557687239.933431","1557687240.310731","0.4204578399658203","1557687239.890273"
"1557687241.352993","1557687240.955053","1557687241.37867","0.47351789474487305","1557687240.905152"
"1557687242.335829","1557687241.960259","1557687242.359988","0.44110798835754395","1557687241.91888"
"1557687243.330761","1557687242.973944","1557687243.359035","0.4253120422363281","1557687242.933723"
"1557687244.384453","1557687243.989229","1557687244.448655","0.5015289783477783","1557687243.947126"
"1557687245.389381","1557687245.021747","1557687245.424899","0.46259117126464844","1557687244.962308"
"1557687246.381186","1557687246.033647","1557687246.499329","0.5226790904998779","1557687245.97665"
"1557687247.443345","1557687247.036829","1557687247.468709","0.4759950637817383","1557687246.992714"
"1557687248.423342","1557687248.050722","1557687248.449665","0.4420759677886963","1557687248.007589"
"1557687249.436643","1557687249.070878","1557687249.467516","0.4450850486755371","1557687249.022431"
"1557687250.485143","1557687250.077833","1557687250.510934","0.47516512870788574","1557687250.035769"
"1557687251.456531","1557687251.092991","1557687251.4838","0.43184590339660645","1557687251.051954"
"1557687252.457728","1557687252.113252","1557687252.483034","0.41811680793762207","1557687252.064917"
"1557687253.686224","1557687253.304321","1557687253.712136","0.632936954498291","1557687253.079199"
"1557687254.517766","1557687254.153001","1557687254.544134","0.4500389099121094","1557687254.094095"
"1557687255.500858","1557687255.154142","1557687255.528815","0.42021608352661133","1557687255.108599"
"1557687256.571619","1557687256.168978","1557687256.597084","0.47469305992126465","1557687256.122391"
"1557687257.53968","1557687257.177774","1557687257.566195","0.42988109588623047","1557687257.136314"
"1557687258.592614","1557687258.200227","1557687258.619413","0.469005823135376","1557687258.150407"
"1557687259.59944","1557687259.207419","1557687259.626103","0.4624629020690918","1557687259.16364"
"1557687260.590393","1557687260.218398","1557687260.61934","0.4411640167236328","1557687260.178176"
"1557687261.605176","1557687261.237167","1557687261.635484","0.4434630870819092","1557687261.192021"
"1557687262.639742","1557687262.244805","1557687262.66817","0.4613199234008789","1557687262.20685"
"1557687263.620262","1557687263.268958","1557687263.645822","0.4241640567779541","1557687263.221658"
"1557687264.630519","1557687264.282037","1557687264.657719","0.4226558208465576","1557687264.235063"
"1557687265.684708","1557687265.292527","1557687265.710668","0.45739197731018066","1557687265.253276"
"1557687266.661275","1557687266.305949","1557687266.688885","0.4204120635986328","1557687266.268473"
"1557687267.718725","1557687267.32235","1557687267.744476","0.461306095123291","1557687267.28317"
"1557687268.738967","1557687268.342643","1557687268.767146","0.46839213371276855","1557687268.298754"
"1557687269.70541","1557687269.35546","1557687269.733118","0.4200420379638672","1557687269.313076"
"1557687270.721806","1557687270.370389","1557687270.758076","0.431459903717041","1557687270.326616"
"1557687271.785232","1557687271.381982","1557687271.811009","0.4692959785461426","1557687271.341713"
"1557687272.750726","1557687272.396444","1557687272.777177","0.4226951599121094","1557687272.354482"
"1557687273.753448","1557687273.409243","1557687273.831065","0.46230483055114746","1557687273.36876"
