,message_arrived,message_sent,processing_start_time,processing_end_time,processing_delay,network_delay,overall_delay
293,1557911519.2497284,1557911519.1983204,1557911519.5114071,1557911519.8442981,0.33289098739624023,0.05140805244445801,0.38429903984069824
294,1557911520.3030279,1557911520.2052145,1557911520.342285,1557911520.728822,0.3865370750427246,0.09781336784362793,0.48435044288635254
295,1557911521.3177693,1557911521.210412,1557911521.3579302,1557911521.694323,0.336392879486084,0.10735726356506348,0.44375014305114746
296,1557911522.3487515,1557911522.2155821,1557911522.38273,1557911522.7190552,0.33632516860961914,0.13316941261291504,0.4694945812225342
297,1557911523.3343172,1557911523.2213051,1557911523.375429,1557911523.810713,0.4352841377258301,0.11301207542419434,0.5482962131500244
298,1557911524.5586185,1557911524.2263358,1557911524.457561,1557911524.874957,0.41739606857299805,0.33228278160095215,0.7496788501739502
299,1557911525.940308,1557911525.2327485,1557911525.9875472,1557911526.655214,0.6676669120788574,0.7075595855712891,1.3752264976501465
300,1557911526.4441516,1557911526.2380793,1557911526.6906312,1557911527.028491,0.3378598690032959,0.20607233047485352,0.5439321994781494
301,1557911527.3474514,1557911527.2426536,1557911527.429282,1557911527.848272,0.4189901351928711,0.1047978401184082,0.5237879753112793
302,1557911528.3080633,1557911528.2479525,1557911528.35085,1557911528.710727,0.3598768711090088,0.06011080741882324,0.41998767852783203
303,1557911529.3597898,1557911529.253506,1557911529.461477,1557911529.887627,0.426149845123291,0.10628390312194824,0.5324337482452393
304,1557911530.3609846,1557911530.2607422,1557911530.404575,1557911530.7414858,0.3369107246398926,0.10024237632751465,0.4371531009674072
305,1557911531.3640153,1557911531.2671509,1557911531.4058108,1557911531.7427142,0.33690333366394043,0.09686446189880371,0.43376779556274414
306,1557911532.3256974,1557911532.2723055,1557911532.424715,1557911532.814133,0.3894178867340088,0.05339193344116211,0.4428098201751709
307,1557911533.6508994,1557911533.27809,1557911533.686034,1557911534.022528,0.33649396896362305,0.37280941009521484,0.7093033790588379
308,1557911534.3941526,1557911534.2822554,1557911534.4323099,1557911534.766525,0.3342151641845703,0.11189723014831543,0.44611239433288574
309,1557911535.4672234,1557911535.2879126,1557911535.50501,1557911535.83965,0.3346400260925293,0.17931079864501953,0.5139508247375488
310,1557911536.534835,1557911536.2929928,1557911536.571564,1557911536.95277,0.38120603561401367,0.24184226989746094,0.6230483055114746
311,1557911537.4017372,1557911537.2995968,1557911537.442585,1557911537.778064,0.3354790210723877,0.10214042663574219,0.4376194477081299
312,1557911538.4572062,1557911538.3054538,1557911538.498032,1557911538.8329089,0.33487677574157715,0.15175247192382812,0.4866292476654053
313,1557911539.4168212,1557911539.3108768,1557911539.4591382,1557911539.841027,0.38188886642456055,0.10594439506530762,0.48783326148986816
314,1557911540.6002975,1557911540.3179364,1557911540.63875,1557911540.9738061,0.3350560665130615,0.2823610305786133,0.6174170970916748
315,1557911541.4602025,1557911541.3243554,1557911541.496952,1557911541.8537052,0.3567531108856201,0.1358470916748047,0.4926002025604248
316,1557911542.4796011,1557911542.328975,1557911542.515341,1557911542.944098,0.4287569522857666,0.15062618255615234,0.579383134841919
317,1557911543.3869774,1557911543.334293,1557911543.4267411,1557911543.761643,0.3349018096923828,0.05268454551696777,0.3875863552093506
318,1557911544.4290688,1557911544.3392785,1557911544.4703948,1557911544.856508,0.38611316680908203,0.08979034423828125,0.4759035110473633
319,1557911545.4143085,1557911545.3438687,1557911545.51475,1557911545.908434,0.39368391036987305,0.07043981552124023,0.4641237258911133
320,1557911546.4558485,1557911546.3509982,1557911546.498507,1557911546.842568,0.34406089782714844,0.10485029220581055,0.448911190032959
